---------------directory fuzzing result---------------
[!!!] 403 : http://10.10.47.242/.hta/
[!!!] 403 : http://10.10.47.242/.htaccess/
[!!!] 403 : http://10.10.47.242/.htpasswd/
[!!!] 403 : http://10.10.47.242/server-status/
[!!!] 200 : http://10.10.47.242/files/
---------------page fuzzing result---------------
[!!!] 403 : http://10.10.47.242/.hta.asp
[!!!] 403 : http://10.10.47.242/.hta.aspx
[!!!] 403 : http://10.10.47.242/.hta.bak
[!!!] 403 : http://10.10.47.242/.hta.bat
[!!!] 403 : http://10.10.47.242/.hta.css
[!!!] 403 : http://10.10.47.242/.hta.com
[!!!] 403 : http://10.10.47.242/.hta.config
[!!!] 403 : http://10.10.47.242/.hta.dat
[!!!] 403 : http://10.10.47.242/.hta.dll
[!!!] 403 : http://10.10.47.242/.hta.exe
[!!!] 403 : http://10.10.47.242/.htahtml
[!!!] 403 : http://10.10.47.242/.hta.js
[!!!] 403 : http://10.10.47.242/.hta.log
[!!!] 403 : http://10.10.47.242/.hta.pcap
[!!!] 403 : http://10.10.47.242/.hta.php
[!!!] 403 : http://10.10.47.242/.hta.phps
[!!!] 403 : http://10.10.47.242/.hta.phtml
[!!!] 403 : http://10.10.47.242/.hta.properties
[!!!] 403 : http://10.10.47.242/.hta.rsa
[!!!] 403 : http://10.10.47.242/.hta.sh
[!!!] 403 : http://10.10.47.242/.hta.sql
[!!!] 403 : http://10.10.47.242/.hta.tar
[!!!] 403 : http://10.10.47.242/.hta.txt
[!!!] 403 : http://10.10.47.242/.hta.xml
[!!!] 403 : http://10.10.47.242/.hta.zip
[!!!] 403 : http://10.10.47.242/.htaccess.asp
[!!!] 403 : http://10.10.47.242/.htaccess.aspx
[!!!] 403 : http://10.10.47.242/.htaccess.bak
[!!!] 403 : http://10.10.47.242/.htaccess.bat
[!!!] 403 : http://10.10.47.242/.htaccess.css
[!!!] 403 : http://10.10.47.242/.htaccess.com
[!!!] 403 : http://10.10.47.242/.htaccess.config
[!!!] 403 : http://10.10.47.242/.htaccess.dat
[!!!] 403 : http://10.10.47.242/.htaccess.dll
[!!!] 403 : http://10.10.47.242/.htaccess.exe
[!!!] 403 : http://10.10.47.242/.htaccesshtml
[!!!] 403 : http://10.10.47.242/.htaccess.js
[!!!] 403 : http://10.10.47.242/.htaccess.log
[!!!] 403 : http://10.10.47.242/.htaccess.pcap
[!!!] 403 : http://10.10.47.242/.htaccess.php
[!!!] 403 : http://10.10.47.242/.htaccess.phps
[!!!] 403 : http://10.10.47.242/.htaccess.phtml
[!!!] 403 : http://10.10.47.242/.htaccess.properties
[!!!] 403 : http://10.10.47.242/.htaccess.rsa
[!!!] 403 : http://10.10.47.242/.htaccess.sh
[!!!] 403 : http://10.10.47.242/.htaccess.sql
[!!!] 403 : http://10.10.47.242/.htaccess.tar
[!!!] 403 : http://10.10.47.242/.htaccess.txt
[!!!] 403 : http://10.10.47.242/.htaccess.xml
[!!!] 403 : http://10.10.47.242/.htaccess.zip
[!!!] 403 : http://10.10.47.242/.htpasswd.asp
[!!!] 403 : http://10.10.47.242/.htpasswd.aspx
[!!!] 403 : http://10.10.47.242/.htpasswd.bak
[!!!] 403 : http://10.10.47.242/.htpasswd.bat
[!!!] 403 : http://10.10.47.242/.htpasswd.css
[!!!] 403 : http://10.10.47.242/.htpasswd.com
[!!!] 403 : http://10.10.47.242/.htpasswd.config
[!!!] 403 : http://10.10.47.242/.htpasswd.dat
[!!!] 403 : http://10.10.47.242/.htpasswd.dll
[!!!] 403 : http://10.10.47.242/.htpasswd.exe
[!!!] 403 : http://10.10.47.242/.htpasswdhtml
[!!!] 403 : http://10.10.47.242/.htpasswd.js
[!!!] 403 : http://10.10.47.242/.htpasswd.log
[!!!] 403 : http://10.10.47.242/.htpasswd.pcap
[!!!] 403 : http://10.10.47.242/.htpasswd.php
[!!!] 403 : http://10.10.47.242/.htpasswd.phps
[!!!] 403 : http://10.10.47.242/.htpasswd.phtml
[!!!] 403 : http://10.10.47.242/.htpasswd.properties
[!!!] 403 : http://10.10.47.242/.htpasswd.rsa
[!!!] 403 : http://10.10.47.242/.htpasswd.sh
[!!!] 403 : http://10.10.47.242/.htpasswd.sql
[!!!] 403 : http://10.10.47.242/.htpasswd.tar
[!!!] 403 : http://10.10.47.242/.htpasswd.txt
[!!!] 403 : http://10.10.47.242/.htpasswd.xml
[!!!] 403 : http://10.10.47.242/.htpasswd.zip
[!!!] 403 : http://10.10.47.242/.passwd.phps
[!!!] 403 : http://10.10.47.242/.ssh.phps
[!!!] 403 : http://10.10.47.242/catalog.phps
[!!!] 403 : http://10.10.47.242/action.phps
[!!!] 403 : http://10.10.47.242/images.phps
[!!!] 403 : http://10.10.47.242/download.phps
[!!!] 403 : http://10.10.47.242/news.phps
[!!!] 403 : http://10.10.47.242/serial.phps
[!!!] 403 : http://10.10.47.242/admin.phps
[!!!] 403 : http://10.10.47.242/contact.phps
[!!!] 403 : http://10.10.47.242/about.phps
[!!!] 403 : http://10.10.47.242/search.phps
